experiment,target_subject,original_selected_epoch,min_LOIFO_epoch,max_LOIFO_epoch,LOIFO_epoch_range,mean_absolute_shift,max_absolute_shift,n_unique_LOIFO_selections,LOIFO_selected_epochs,most_influential_omitted_fold,most_influential_validation_pair,most_influential_shift
Q5,1,27,1,27,26,15.0,26,4,"1,2,18,27",4,S8+S9,-26
Q5,2,1,1,13,12,5.0,12,3,"1,9,13",3,S6+S7,12
Q5,3,2,1,19,18,4.5,17,3,"1,2,19",2,S4+S5,17
Q5,4,10,10,10,0,0.0,0,1,10,1,S1+S2,0
Q5,5,13,7,19,12,3.25,6,4,"7,12,13,19",1,S1+S2,-6
Q5,6,7,2,7,5,1.25,5,2,"2,7",2,S3+S4,-5
Q5,7,6,5,16,11,2.75,10,3,"5,6,16",3,S5+S6,10
Q5,8,1,1,23,22,5.75,22,3,"1,2,23",3,S5+S6,22
Q5,9,7,7,13,6,1.5,6,2,"7,13",3,S5+S6,6
Q6,1,27,1,27,26,15.25,26,3,"1,18,27",1,S2+S3,-26
Q6,2,1,1,19,18,7.5,18,3,"1,13,19",3,S6+S7,18
Q6,3,16,1,19,18,8.25,15,3,"1,16,19",1,S1+S2,-15
Q6,4,10,10,16,6,1.5,6,2,"10,16",4,S8+S9,6
Q6,5,12,7,13,6,1.5,5,3,"7,12,13",1,S1+S2,-5
Q6,6,7,1,35,34,8.5,28,3,"1,7,35",4,S8+S9,28
Q6,7,6,6,16,10,2.5,10,2,"6,16",3,S5+S6,10
Q6,8,1,1,23,22,5.5,22,2,"1,23",3,S5+S6,22
Q6,9,7,7,13,6,1.5,6,2,"7,13",3,S5+S6,6
