fold,subject,seed,stratum,true_label,predicted_label,count,condition
loso_s9,9,20260926,all,1,1,79,FOUR_BAND_SHARED
loso_s9,9,20260926,all,1,2,52,FOUR_BAND_SHARED
loso_s9,9,20260926,all,1,3,7,FOUR_BAND_SHARED
loso_s9,9,20260926,all,1,4,6,FOUR_BAND_SHARED
loso_s9,9,20260926,all,2,1,5,FOUR_BAND_SHARED
loso_s9,9,20260926,all,2,2,54,FOUR_BAND_SHARED
loso_s9,9,20260926,all,2,3,50,FOUR_BAND_SHARED
loso_s9,9,20260926,all,2,4,35,FOUR_BAND_SHARED
loso_s9,9,20260926,all,3,1,19,FOUR_BAND_SHARED
loso_s9,9,20260926,all,3,2,18,FOUR_BAND_SHARED
loso_s9,9,20260926,all,3,3,38,FOUR_BAND_SHARED
loso_s9,9,20260926,all,3,4,69,FOUR_BAND_SHARED
loso_s9,9,20260926,all,4,1,5,FOUR_BAND_SHARED
loso_s9,9,20260926,all,4,2,0,FOUR_BAND_SHARED
loso_s9,9,20260926,all,4,3,25,FOUR_BAND_SHARED
loso_s9,9,20260926,all,4,4,114,FOUR_BAND_SHARED
loso_s9,9,20260926,unflagged,1,1,66,FOUR_BAND_SHARED
loso_s9,9,20260926,unflagged,1,2,44,FOUR_BAND_SHARED
loso_s9,9,20260926,unflagged,1,3,4,FOUR_BAND_SHARED
loso_s9,9,20260926,unflagged,1,4,4,FOUR_BAND_SHARED
loso_s9,9,20260926,unflagged,2,1,4,FOUR_BAND_SHARED
loso_s9,9,20260926,unflagged,2,2,46,FOUR_BAND_SHARED
loso_s9,9,20260926,unflagged,2,3,45,FOUR_BAND_SHARED
loso_s9,9,20260926,unflagged,2,4,33,FOUR_BAND_SHARED
loso_s9,9,20260926,unflagged,3,1,19,FOUR_BAND_SHARED
loso_s9,9,20260926,unflagged,3,2,16,FOUR_BAND_SHARED
loso_s9,9,20260926,unflagged,3,3,35,FOUR_BAND_SHARED
loso_s9,9,20260926,unflagged,3,4,60,FOUR_BAND_SHARED
loso_s9,9,20260926,unflagged,4,1,4,FOUR_BAND_SHARED
loso_s9,9,20260926,unflagged,4,2,0,FOUR_BAND_SHARED
loso_s9,9,20260926,unflagged,4,3,22,FOUR_BAND_SHARED
loso_s9,9,20260926,unflagged,4,4,99,FOUR_BAND_SHARED
loso_s9,9,20260926,flagged,1,1,13,FOUR_BAND_SHARED
loso_s9,9,20260926,flagged,1,2,8,FOUR_BAND_SHARED
loso_s9,9,20260926,flagged,1,3,3,FOUR_BAND_SHARED
loso_s9,9,20260926,flagged,1,4,2,FOUR_BAND_SHARED
loso_s9,9,20260926,flagged,2,1,1,FOUR_BAND_SHARED
loso_s9,9,20260926,flagged,2,2,8,FOUR_BAND_SHARED
loso_s9,9,20260926,flagged,2,3,5,FOUR_BAND_SHARED
loso_s9,9,20260926,flagged,2,4,2,FOUR_BAND_SHARED
loso_s9,9,20260926,flagged,3,1,0,FOUR_BAND_SHARED
loso_s9,9,20260926,flagged,3,2,2,FOUR_BAND_SHARED
loso_s9,9,20260926,flagged,3,3,3,FOUR_BAND_SHARED
loso_s9,9,20260926,flagged,3,4,9,FOUR_BAND_SHARED
loso_s9,9,20260926,flagged,4,1,1,FOUR_BAND_SHARED
loso_s9,9,20260926,flagged,4,2,0,FOUR_BAND_SHARED
loso_s9,9,20260926,flagged,4,3,3,FOUR_BAND_SHARED
loso_s9,9,20260926,flagged,4,4,15,FOUR_BAND_SHARED
